Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2021,101.54,,12000,487.26,49476.38,312.3,37476.38,,12000,487.26,49476.38,312.3,37476.38,Avalanche
2022,10.87,,12000,524.7,5703.49,-52.47,-6296.51,,0,0.0,0.0,0.0,0.0,Avalanche
2023,12.63,,8000,525.09,6631.89,-17.1,-1368.11,,0,0.0,0.0,0.0,0.0,Avalanche
