Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2016,8.01,,12000,1519.59,12171.92,1.43,171.92,,12000,1519.59,12171.92,1.43,171.92,Ethereum
2017,774.7,,12000,215.37,166847.14,1290.39,154847.14,,12000,215.37,166847.14,1290.39,154847.14,Ethereum
2018,137.63,,12000,41.05,5649.71,-52.92,-6350.29,,0,0.0,0.0,0.0,0.0,Ethereum
2019,131.46,,12000,73.35,9642.59,-19.65,-2357.41,,0,0.0,0.0,0.0,0.0,Ethereum
2020,752.86,,12000,44.28,33336.64,177.81,21336.64,,36000,158.68,119463.82,231.84,83463.82,Ethereum
2021,3714.95,,12000,4.98,18500.45,54.17,6500.45,,12000,4.98,18500.45,54.17,6500.45,Ethereum
2022,1199.11,,12000,7.1,8513.68,-29.05,-3486.32,,0,0.0,0.0,0.0,0.0,Ethereum
2023,1855.89,,8000,4.48,8314.39,3.93,314.39,,20000,11.58,21491.21,7.46,1491.21,Ethereum
