Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2021,172.51,,12000,515.04,88849.55,640.41,76849.55,,12000,515.04,88849.55,640.41,76849.55,Solana
2022,9.89,,12000,382.36,3781.54,-68.49,-8218.46,,0,0.0,0.0,0.0,0.0,Solana
2023,24.38,,8000,362.49,8837.51,10.47,837.51,,0,0.0,0.0,0.0,0.0,Solana
