Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2018,0.3,,12000,35035.84,10510.75,-12.41,-1489.25,,0,0.0,0.0,0.0,0.0,Chainlink
2019,1.82,,12000,13264.14,24140.73,101.17,12140.73,,24000,48299.979999999996,87905.96,266.27,63905.96,Chainlink
2020,11.27,,12000,2312.26,26059.17,117.16,14059.17,,12000,2312.26,26059.17,117.16,14059.17,Chainlink
2021,19.95,,12000,484.35,9662.78,-19.48,-2337.22,,0,0.0,0.0,0.0,0.0,Chainlink
2022,5.47,,12000,1420.79,7771.72,-35.24,-4228.28,,0,0.0,0.0,0.0,0.0,Chainlink
2023,7.7,,8000,1142.41,8796.56,9.96,796.56,,0,0.0,0.0,0.0,0.0,Chainlink
