Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2021,27.54,,12000,483.19,13307.05,10.89,1307.05,,12000,483.19,13307.05,10.89,1307.05,Polkadot
2022,4.32,,12000,1447.54,6253.37,-47.89,-5746.63,,0,0.0,0.0,0.0,0.0,Polkadot
2023,5.06,,8000,1417.04,7170.22,-10.37,-829.78,,0,0.0,0.0,0.0,0.0,Polkadot
