Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2018,5.89,,12000,1226.27,7222.73,-39.81,-4777.27,,0,0.0,0.0,0.0,0.0,Binance Coin
2019,13.85,,12000,762.22,10556.75,-12.03,-1443.25,,0,0.0,0.0,0.0,0.0,Binance Coin
2020,38.15,,12000,588.59,22454.71,87.12,10454.71,,36000,2577.08,98315.6,173.1,62315.6,Binance Coin
2021,518.37,,12000,51.53,26711.61,122.6,14711.61,,12000,51.53,26711.61,122.6,14711.61,Binance Coin
2022,245.84,,12000,39.06,9602.51,-19.98,-2397.49,,0,0.0,0.0,0.0,0.0,Binance Coin
2023,244.01,,8000,28.51,6956.73,-13.04,-1043.27,,0,0.0,0.0,0.0,0.0,Binance Coin
