Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2020,0.02,,12000,683333.33,13666.67,13.89,1666.67,,12000,683333.33,13666.67,13.89,1666.67,Polygon
2021,2.55,,12000,39326.55,100282.7,735.69,88282.7,,12000,39326.55,100282.7,735.69,88282.7,Polygon
2022,0.76,,12000,13514.1,10270.72,-14.41,-1729.28,,0,0.0,0.0,0.0,0.0,Polygon
2023,0.69,,8000,9249.73,6382.31,-20.22,-1617.69,,0,0.0,0.0,0.0,0.0,Polygon
