Año,Precio al Cierre de 12 Meses,-------,Valor de Inversión (USD),Unidades Compradas,Valor Cripto,ROI,ROI en USD,------,Valor de Inversión (USD)2,Unidades Compradas2,Valor Cripto2,ROI2,ROI en USD2,Cryptocurrency
2020,0.34,,12000,45016.74,15305.69,27.55,3305.69,,12000,45016.74,15305.69,27.55,3305.69,Algorand
2021,1.73,,12000,10709.48,18527.4,54.4,6527.4,,12000,10709.48,18527.4,54.4,6527.4,Algorand
2022,0.17,,12000,32648.72,5550.28,-53.75,-6449.72,,0,0.0,0.0,0.0,0.0,Algorand
2023,0.11,,8000,51098.03,5620.78,-29.74,-2379.22,,0,0.0,0.0,0.0,0.0,Algorand
