Fecha,Bitcoin,Ethereum,Binance Coin,Aave,Solana,Polkadot,Chainlink,Avalanche,Algorand,Polygon
2013-06-26,103.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-27,103.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,99.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-29,93.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-30,95.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-02,89.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-03,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-04,78.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-05,78.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-06,67.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-07,68.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-08,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-09,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-10,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-11,85.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-12,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-13,88.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-14,95.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-15,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-16,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-17,98.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-18,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-19,88.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-20,91.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-21,89.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-22,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-23,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-24,94.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-25,94.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-26,96.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-27,94.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-28,94.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-29,98.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-30,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-31,110.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,106.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02,101.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-03,103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-04,104.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-05,106.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-06,105.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-07,106.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
